COD_ID;LGRD;BRR;CLAS_SUB;CNAE;ARE_LOC;POINT_X;POINT_Y
3001321050;RUA RUI BARBOSA 181;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12621673;-20.90322046
3001321142;RUA EVARISTO CARDOSO 184;CENTRO;RE1;99.99-2/9;UB;-45.12603324;-20.90227184
3001321144;RUA EVARISTO CARDOSO 216;CENTRO;RE1;99.99-2/9;UB;-45.1258315;-20.90250692
3003403216;RUA SAO JOSE 177;ALTO DA COLINA;CO9;93.12-3/9;UB;-45.12684193;-20.90342781
3004206427;RUA JOAO LUIZ 350;CENTRO;RE1;99.99-2/9;UB;-45.12818043;-20.90567671
3004646926;RUA MAESTRO SEBASTIAO MELO 277;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12764084;-20.90437597
3005254299;RUA MAESTRO SEBASTIAO MELO 100;ALTO DA COLINA;CO5;94.91-0/9;UB;-45.12835126;-20.90302008
3005662429;RUA JOAO LUIZ 438;CENTRO;RE1;99.99-2/9;UB;-45.12710427;-20.90664434
3005684517;RUA JUCA FORTUNATO 24;ALTO DA COLINA;RE2;99.99-2/9;UB;-45.12724727;-20.90518045
3005730075;RUA REINALDO S LEOCADIO 68;SEVILHA;RE1;99.99-2/9;UB;-45.12998823;-20.90568438
3006311134;RUA JOAO AUGUSTO AVELAR 32;JARDIM BEIRA RIO;CO1;47.89-0/4;UB;-45.12977832;-20.90758205
3006618819;RUA DUCA FAGUNDES 102;SEVILHA;RE2;99.99-2/9;UB;-45.12913328;-20.90669703
3007225479;RUA MAESTRO SEBASTIAO MELO 73;ALTO DA COLINA;CO9;56.11-2/5;UB;-45.12835126;-20.90302008
3007726184;RUA JUAREZ DE MELO FREIRE 111;SEVILHA;RE1;99.99-2/9;UB;-45.12937399;-20.90704925
3010435252;RUA TIBURCIO A FREIRE 20;SEVILHA;RE1;99.99-2/9;UB;-45.13016389;-20.90866604
3010538470;RUA REINALDO S LEOCADIO 255;SEVILHA;RE1;99.99-2/9;UB;-45.12847927;-20.90655296
3011362281;RUA PADRE VELOSO 9;ALTO DA COLINA;CO9;96.02-5/9;UB;-45.12736076;-20.90293046
3013336931;RUA FRANCISCO F DA COSTA 25;SEVILHA;CO1;46.74-5/4;UB;-45.12877768;-20.90691416
3001321072;RUA EVARISTO CARDOSO 400;CENTRO;RE2;99.99-2/9;UB;-45.1244766;-20.90361027
3003812493;RUA EVARISTO CARDOSO 461;CENTRO;RE2;99.99-2/9;UB;-45.1240249;-20.90390878
3005823131;RUA AMAURI CIRIACO 4;PROFESSOR ELBERTE LUIZ;RE2;99.99-2/9;UB;-45.12474567;-20.90340225
3001320870;RUA TREZE DE MAIO 131;CENTRO;RE1;99.99-2/9;UB;-45.12909999;-20.90150151
3001321004;RUA JOSE BERNARDINO 243;CENTRO;RE1;99.99-2/9;UB;-45.12821575;-20.90197204
3001321204;RUA JOSE FONTOURA 122;CENTRO;RE2;99.99-2/9;UB;-45.12692612;-20.90062667
3001321276;RUA JUVENAL GERALDO MENDES 3;PROFESSOR ELBERTE LUIZ;RE1;99.99-2/9;UB;-45.12558919;-20.90020298
3002402377;RUA JULIO CARDOSO FILHO 86;CENTRO;IN;14.12-6/1;UB;-45.13128138;-20.89992763
3002402385;RUA JULIO CARDOSO FILHO 194;CENTRO;RE1;99.99-2/9;UB;-45.13122471;-20.90111136
3002402389;AV JOAO R TEIXEIRA 2;CENTRO;RE1;99.99-2/9;UB;-45.13142717;-20.9017166
3002402527;PCA SATURNINO CARDOSO 233;CENTRO;RE1;99.99-2/9;UB;-45.13086707;-20.89896113
3002402563;RUA JOSE BERNARDINO 115;CENTRO;RE1;99.99-2/9;UB;-45.12909963;-20.90108587
3002402612;RUA CORONEL FRANCISCO CAMBRAIA 463;CENTRO;RE2;99.99-2/9;UB;-45.1260687;-20.89867559
3002402693;AV NAGIB GIBRAN 106;CENTRO;RE1;99.99-2/9;UB;-45.1305891;-20.89998238
3003766218;PCA SATURNINO CARDOSO 191;CENTRO;RE1;99.99-2/9;UB;-45.13064539;-20.8983559
3003865630;AV CAMBRAIA NASCIMENTO 50;PROFESSOR ELBERTE LUIZ;RE2;99.99-2/9;UB;-45.12398491;-20.90204744
3004454933;AV CAMBRAIA NASCIMENTO 49;PROFESSOR ELBERTE LUIZ;RE1;99.99-2/9;UB;-45.12398491;-20.90204744
3004928814;RUA JUVENAL GERALDO MENDES 161;PROFESSOR ELBERTE LUIZ;RE1;99.99-2/9;UB;-45.12445517;-20.90094474
3005185898;AV MAGALHAES PINTO 143;CENTRO;CO1;47.89-0/4;UB;-45.13001267;-20.9005611
3005240317;RUA ANTONIO F DA COSTA 57;PROFESSOR ELBERTE LUIZ;RE2;99.99-2/9;UB;-45.12467684;-20.90155901
3005346846;AV NAGIB GIBRAN 246;CENTRO;RE1;99.99-2/9;UB;-45.12996514;-20.90120268
3005738710;RUA JUVENAL GERALDO MENDES 68;PROFESSOR ELBERTE LUIZ;RE2;99.99-2/9;UB;-45.12534915;-20.9006188
3006695845;RUA JULIO CARDOSO FILHO 63;CENTRO;RE1;99.99-2/9;UB;-45.13128138;-20.89992763
3010226834;RUA EVARISTO CARDOSO 110;CENTRO;PP3;84.11-6/8;UB;-45.12685946;-20.9014038
3012270468;RUA AUGUSTO TEIXEIRA 22;ALTO DA COLINA;CO9;64.99-9/6;UB;-45.12805149;-20.90103244
3013177652;RUA CASECA 78;CENTRO;RE1;99.99-2/9;UB;-45.12706009;-20.89985854
3006744880;RUA GERALDINHO S REZENDE 150;SEVILHA;RE1;99.99-2/9;UB;-45.1315386;-20.90820417
3007582467;RUA PACU 230;JARDIM BEIRA RIO;IN;10.81-3/1;UB;-45.1322684;-20.90704703
3013553359;RUA PIAU 60;JARDIM BEIRA RIO;RE1;99.99-2/9;UB;-45.13175841;-20.90664985
3001320815;RUA PADRE VELOSO 165;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12871708;-20.90351677
3001320847;RUA MAESTRO SEBASTIAO MELO 61;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12835126;-20.90302008
3001320894;RUA PADRE VELOSO 65;ALTO DA COLINA;RE2;99.99-2/9;UB;-45.12792831;-20.90318304
3001320903;RUA JOSE BERNARDINO 530;CENTRO;RE1;99.99-2/9;UB;-45.12741949;-20.90415024
